runtime,release_date,imdb_id,original_title,genres,vote_average,budget,cast,production_companies,release_year,revenue,director
123,6/15/2015,1798684,Southpaw,Action|Drama,7.3,30000000,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Escape Artists|Riche-Ludwig Productions,"2015""",91709827,Antoine Fuqua
114,5/27/2015,2126355,San Andreas,Action|Drama|Thriller,6.1,110000000,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,"2015""",470490832,Brad Peyton
125,2/11/2015,2322441,Fifty Shades of Grey,Drama|Romance,5.3,40000000,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Focus Features|Trigger Street Productions|Michael De Luca Productions,"2015""",569651467,Sam Taylor-Johnson
130,12/11/2015,"
tt1596363",The Big Short,Comedy|Drama,7.3,28000000,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Paramount Pictures|Plan B Entertainment|Regency Enterprises,2015,133346506,Adam McKay
131,7/23/2015,2381249,Mission: Impossible - Rogue Nation,Action,7.1,150000000,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,"2015""",682330139,Christopher McQuarrie
115,6/25/2015,2637276,Ted 2,Comedy,6.3,68000000,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,"2015""",215863606,Seth MacFarlane
130,1/24/2015,"
tt2802144",Kingsman: The Secret Service,Crime|Comedy|Action|Adventure,7.6,81000000,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,2015,403802136,Matthew Vaughn
128,11/6/2015,1895587,Spotlight,Drama|Thriller|History,7.8,20000000,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,"2015""",88346473,Tom McCarthy
132,9/9/2015,4046784,Maze Runner: The Scorch Trials,Action|Science Fiction|Thriller,6.4,61000000,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Gotham Group|Temple Hill Entertainment|TSG Entertainment,"2015""",311256926,Wes Ball
120,3/4/2015,1823672,Chappie,Crime|Action|Science Fiction,6.6,49000000,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,"2015""",102069268,Neill Blomkamp
115,5/7/2015,2848292,Pitch Perfect 2,Comedy|Music,6.8,29000000,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Universal Pictures|Gold Circle Films|Brownstone Productions,"2015""",287506194,Elizabeth Banks
141,10/15/2015,3682448,Bridge of Spies,Thriller|Drama,7.1,40000000,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,"2015""",162610473,Steven Spielberg
103,8/5/2015,1051904,Goosebumps,Adventure|Horror|Comedy,6.2,58000000,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Columbia Pictures|Original Film|Scholastic Entertainment,"2015""",150170815,Rob Letterman
117,10/16/2015,"
tt3170832",Room,Drama|Thriller,8.0,6000000,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Element Pictures|No Trace Camping|A24|Duperele Films,2015,35401758,Lenny Abrahamson
93,11/14/2015,"
tt1979388",The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,6.6,175000000,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,2015,331926147,Peter Sohn
114,3/11/2015,2199571,Run All Night,Action|Crime|Drama|Mystery|Thriller,6.3,50000000,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,"2015""",71561644,Jaume Collet-Serra
111,11/4/2015,2381111,Brooklyn,Drama|Romance,7.3,11000000,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,"2015""",62076141,John Crowley
147,8/13/2015,1398426,Straight Outta Compton,Drama|Music,7.7,28000000,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,"2015""",201634991,F. Gary Gray
106,10/21/2015,1618442,The Last Witch Hunter,Fantasy|Action|Adventure,5.6,90000000,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|ГѓвЂњlafur Darri ГѓвЂњlafsson,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,"2015"";;;;;;
",140396650,Breck Eisner
116,8/13/2015,1638355,The Man from U.N.C.L.E.,Comedy|Action|Adventure,7.0,75000000,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,"2015""",108145109,Guy Ritchie
112,4/16/2015,1655441,The Age of Adaline,Fantasy|Drama|Romance,7.3,25000000,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,"2015""",42629776,Lee Toland Krieger
97,9/12/2015,3072482,Hardcore Henry,Action|Adventure|Science Fiction,5.9,10000000,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Bazelevs Production|Versus Pictures,"2015""",14333790,Ilya Naishuller
94,3/18/2015,2224026,Home,Fantasy|Comedy|Animation|Science Fiction|Family,6.9,135000000,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Twentieth Century Fox Film Corporation|DreamWorks Animation,"2015""",368871007,Tim Johnson
109,7/9/2015,3622592,Paper Towns,Drama|Mystery|Romance,6.2,12000000,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Fox 2000 Pictures,"2015""",85512300,Jake Schreier
118,11/20/2015,2402927,Carol,Romance|Drama,7.1,11800000,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Killer Films|Film4|Number 9 Films,"2015""",40272135,Todd Haynes
121,9/24/2015,2361509,The Intern,Comedy,7.1,35000000,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Waverly Films|Warner Bros.,"2015""",194564672,Nancy Meyers
121,9/10/2015,2719848,Everest,Adventure|Drama,6.7,55000000,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,"2015""",203427584,Baltasar KormГѓВЎkur
114,12/3/2015,2058673,Point Break,Action|Crime|Thriller,5.5,105000000,Edgar RamГѓВ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,"2015""",133718711,Ericson Core
100,10/2/2015,2503944,Burnt,Drama,6.3,20000000,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,Double Feature Films|PeaPie Films|3 Arts Entertainment,"2015""",36606743,John Wells
116,7/10/2015,"
tt2140379",Self/less,Science Fiction|Mystery|Thriller,6.2,26000000,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Endgame Entertainment|Ram Bergman Productions,2015,30523226,Tarsem Singh
106,1/21/2015,3045616,Mortdecai,Comedy|Adventure,5.3,60000000,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,"2015""",30418560,David Koepp
120,11/27/2015,0810819,The Danish Girl,Drama,7.3,15000000,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Pretty Pictures|Working Title Films|ArtГѓВ©mis Productions|Le Tax Shelter du Gouvernement FГѓВ©dГѓВ©ral de Belgique|Taxshelter. be,"2015""",64191523,Tom Hooper
133,1/13/2015,"
tt2717822",Blackhat,Mystery|Crime|Action|Thriller|Drama,5.0,70000000,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Universal Pictures|Forward Pass|Legendary Pictures,2015,17752940,Michael Mann
121,9/17/2015,3397884,Sicario,Action|Crime|Drama|Mystery|Thriller,7.1,30000000,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Lionsgate|Thunder Road Pictures|Black Label Media,"2015""",84025816,Denis Villeneuve
100,8/5/2015,1502712,Fantastic Four,Action|Adventure|Science Fiction,4.4,120000001,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),"2015""",167977596,Josh Trank
120,5/6/2015,3079380,Spy,Action|Comedy|Crime,6.9,65000000,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,"2015""",235666219,Paul Feig
105,2/25/2015,2381941,Focus,Romance|Comedy|Crime|Drama,6.7,50100000,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,"2015""",153962963,Glenn Ficarra|John Requa
96,8/20/2015,"
tt2679042",Hitman: Agent 47,Action|Crime|Thriller,5.5,35000000,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,2015,82347656,Aleksander Bach
122,11/20/2015,1390411,In the Heart of the Sea,Thriller|Drama|Adventure|Action|History,6.4,100000000,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,"2015""",93820758,Ron Howard
133,11/25/2015,3076658,Creed,Drama,7.3,35000000,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashГ„d,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,"2015""",137935567,Ryan Coogler
125,7/17/2015,3152624,Trainwreck,Comedy,6.1,35000000,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,"2015""",140795793,Judd Apatow
102,9/11/2015,"
tt2057392",Eye in the Sky,Drama|Thriller|War,7.2,13000000,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Entertainment One|Moonlighting Films|Raindog Films,2015,32848185,Gavin Hood
131,9/9/2015,3569230,Legend,Crime|Thriller,6.7,25000000,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),"2015""",42972994,Brian Helgeland
111,9/24/2015,3332064,Pan,Adventure|Family|Fantasy,5.9,150000000,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,"2015""",128388320,Joe Wright
88,11/5/2015,2452042,The Peanuts Movie,Adventure|Animation|Comedy|Family,6.4,99000000,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,"2015""",246233113,Steve Martino
123,11/12/2015,3322364,Concussion,Drama,6.9,35000000,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,"2015""",48623572,Peter Landesman
100,11/20/2015,3530002,The Night Before,Comedy,6.1,25000000,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Sony Pictures|Point Grey Pictures|Good Universe,"2015""",52395996,Jonathan Levine
128,4/9/2015,2726560,The Longest Ride,Romance|Drama,7.3,34000000,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,Fox 2000 Pictures|Temple Hill Entertainment,"2015""",63013281,"""""George Tillman"
89,9/21/2015,2510894,Hotel Transylvania 2,Animation|Comedy|Family,6.8,80000000,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Columbia Pictures|Sony Pictures Animation,"2015""",466183544,Genndy Tartakovsky
107,11/12/2015,2279339,Love the Coopers,Family|Comedy,5.3,17000000,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Imagine Entertainment|Groundswell Productions|CBS Films,"2015""",24000000,Jessie Nelson
123,9/30/2015,"
tt3488710",The Walk,Adventure|Drama|Thriller,6.8,35000000,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,2015,61181942,Robert Zemeckis
99,7/28/2015,1524930,Vacation,Adventure|Comedy,6.1,31000000,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,New Line Cinema|BenderSpink|David Dobkin Productions,"2015""",104384188,John Francis Daley|Jonathan M. Goldstein
93,5/20/2015,1029360,Poltergeist,Horror|Thriller,5.0,35000000,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,"2015""",95437994,Gil Kenan
137,3/15/2015,1014763,Child 44,Crime|Thriller,5.9,50000000,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Summit Entertainment|Scott Free Productions|Worldview Entertainment,"2015""",3324330,Daniel Espinosa
108,7/30/2015,4178092,The Gift,Thriller|Mystery,6.6,5000000,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,"2015""",58978653,Joel Edgerton
96,12/25/2015,1528854,Daddy's Home,Comedy,5.7,50000000,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,"2015""",240360392,Sean Anders
92,7/29/2015,1754656,The Little Prince,Adventure|Animation|Fantasy,7.5,64000000,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,"2015""",97571250,Mark Osborne
118,10/1/2015,2910904,The Dressmaker,Drama,6.9,11930000,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Amazon Studios|Film Art Media|Apollo Media,"2015""",18340000,Jocelyn Moorhouse
100,2/20/2015,1666801,The DUFF,Romance|Comedy,6.8,8500000,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Wonderland Sound and Vision|CBS Films|Vast Entertainment,"2015""",43528634,Ari Sandel
97,8/19/2015,2752772,Sinister 2,Horror,5.5,10000000,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,"2015""",52882018,Ciaran Foy
94,4/16/2015,3450650,Paul Blart: Mall Cop 2,Action|Adventure|Comedy|Family,5.3,30000000,Kevin James|Raini Rodriguez|Eduardo VerГѓВЎstegui|Daniella Alonso|Neal McDonough,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),"2015""",107597242,Andy Fickman
104,6/3/2015,1674771,Entourage,Comedy,6.2,30000000,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Warner Bros.|Closest to the Hole Productions,"2015""",49263404,Doug Ellin
101,1/16/2015,0884732,The Wedding Ringer,Comedy,6.5,23000000,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,Miramax Films|Screen Gems|LStar Capital,"2015""",79799880,Jeremy Garelick
94,9/10/2015,3567288,The Visit,Horror|Thriller,5.9,5000000,Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan,Blumhouse Productions|Blinding Edge Pictures,"2015""",98450062,M. Night Shyamalan
122,9/4/2015,1355683,Black Mass,Crime|Drama,6.3,53000000,Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,"2015""",99775678,Scott Cooper
98,11/26/2015,"
tt3850590",Krampus,Horror|Comedy|Fantasy,5.9,15000000,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,Universal Pictures|Legendary Pictures,2015,61548707,Michael Dougherty
103,8/26/2015,1781922,No Escape,Action|Thriller,6.7,5000000,Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett,Bold Films|Living Films|Brothers Dowdle Productions,"2015""",54418872,John Erick Dowdle
120,4/10/2015,2404425,Woman in Gold,Drama,7.3,11000000,Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons,BBC Films|Origin Pictures,"2015""",61619773,Simon Curtis
118,12/18/2015,"
tt1850457",Sisters,Comedy,5.9,30000000,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,Little Stranger,2015,105011053,Jason Moore
106,1/30/2015,2436386,Project Almanac,Science Fiction|Thriller,6.3,12000000,Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,"2015""",32248241,Dean Israelite
96,9/3/2015,2938956,The Transporter Refueled,Thriller|Action|Crime,5.3,25000000,Ed Skrein|Ray Stevenson|Loan Chabanol|Gabriella Wright|Tatjana PajkoviГ„вЂЎ,EuropaCorp,"2015""",72629670,Camille Delamarre
119,10/13/2015,2554274,Crimson Peak,Mystery|Thriller|Fantasy|Horror|Drama,6.4,55000000,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver,Legendary Pictures,"2015""",74679822,Guillermo del Toro
115,7/1/2015,2268016,Magic Mike XXL,Comedy|Drama|Music,6.3,14800000,Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrГѓВ­guez,Warner Bros.|Iron Horse Entertainment (II),"2015""",122413057,Gregory Jacobs
88,10/21/2015,2473510,Paranormal Activity: The Ghost Dimension,Horror|Thriller,5.0,10000000,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,Paramount Pictures|Blumhouse Productions,"2015""",78099553,Gregory Plotkin
124,10/27/2015,"
tt3203606",Trumbo,Drama,7.2,15000000,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,2015,8235661,Jay Roach
111,10/14/2015,1741273,Secret in Their Eyes,Crime|Drama|Mystery,6.2,19500000,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,Ingenious Media|Gran Via Productions|IM Global|Route One Films,"2015""",32189727,Billy Ray
93,2/5/2015,2279373,The SpongeBob Movie: Sponge Out of Water,Family|Animation,5.7,74000000,Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,"2015""",311594032,Paul Tibbitt
111,6/26/2015,"
tt3369806",Max,Adventure|Drama|Family,7.0,20000000,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),2015,43967255,Boaz Yakin
115,2/16/2015,2515034,The Gunman,Action|Drama|Crime,5.6,40000000,Sean Penn|Jasmine Trinca|Javier Bardem|Ray Winstone|Mark Rylance,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografГѓВ­a y de las Artes Audiovisuales (ICAA),"2015""",10664749,Pierre Morel
87,5/8/2015,"
tt2967224",Hot Pursuit,Action|Crime|Comedy,5.5,35000000,Reese Witherspoon|SofГѓВ­a Vergara|Michael Mosley|John Carroll Lynch|Richard T. Jones,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,2015,51680201,Anne Fletcher
97,6/4/2015,3195644,Insidious: Chapter 3,Drama|Horror|Thriller,6.3,10000000,Dermot Mulroney|Stefanie Scott|Lin Shaye|Leigh Whannell|Angus Sampson,Sony Pictures,"2015""",104303851,Leigh Whannell
